0,10,1,1,0.41,,,,,,,
0,10,1,2,0.37,,id,rollingHorizon,maxDepth,gamma,,
0,10,1,3,0.39,,1,0,10,1,0.383,0.0328785644
0,10,1,4,0.41,,2,1,10,0.9,0.401,0.0262488095
0,10,1,5,0.38,,3,1,3,jj,0.416,0.01356466
0,10,1,6,0.39,,4,1,5,1,0.402,0.0295972972
0,10,1,7,0.36,,5,1,7,1,0.422,0.0331058907
0,10,1,8,0.42,,6,1,10,1,0.4115,0.0252041663
0,10,1,9,0.4,,7,1,15,1,0.394,0.01356466
0,10,1,10,0.3,,8,1,20,1,0.395,0.0253968502
1,3,1,1,0.4,,9,1,25,1,0.384,0.0261533937
1,3,1,2,0.43,,,,,,,
1,3,1,3,0.41,,,,,,,
1,3,1,4,0.44,,,,,,,
1,3,1,5,0.42,,,,,,,
1,3,1,6,0.41,,,,,,,
1,3,1,7,0.42,,,,,,,
1,3,1,8,0.42,,,,,,,
1,3,1,9,0.39,,,,,,,
1,3,1,10,0.42,,,,,,,
1,5,1,1,0.44,,,,,,,
1,5,1,2,0.38,,,,,,,
1,5,1,3,0.39,,,,,,,
1,5,1,4,0.37,,,,,,,
1,5,1,5,0.4,,,,,,,
1,5,1,6,0.36,,,,,,,
1,5,1,7,0.41,,,,,,,
1,5,1,8,0.39,,,,,,,
1,5,1,9,0.46,,,,,,,
1,5,1,10,0.42,,,,,,,
1,7,1,1,0.44,,,,,,,
1,7,1,2,0.44,,,,,,,
1,7,1,3,0.43,,,,,,,
1,7,1,4,0.35,,,,,,,
1,7,1,5,0.47,,,,,,,
1,7,1,6,0.41,,,,,,,
1,7,1,7,0.43,,,,,,,
1,7,1,8,0.38,,,,,,,
1,7,1,9,0.45,,,,,,,
1,7,1,10,0.42,,,,,,,
1,10,0.9,1,0.36,,,,,,,
1,10,0.9,2,0.4,,,,,,,
1,10,0.9,3,0.37,,,,,,,
1,10,0.9,4,0.39,,,,,,,
1,10,0.9,5,0.42,,,,,,,
1,10,0.9,6,0.4,,,,,,,
1,10,0.9,7,0.43,,,,,,,
1,10,0.9,8,0.38,,,,,,,
1,10,0.9,9,0.45,,,,,,,
1,10,0.9,10,0.41,,,,,,,
1,10,1,1,0.405,,,,,,,
1,10,1,2,0.355,,,,,,,
1,10,1,3,0.445,,,,,,,
1,10,1,4,0.405,,,,,,,
1,10,1,5,0.39,,,,,,,
1,10,1,6,0.425,,,,,,,
1,10,1,7,0.425,,,,,,,
1,10,1,8,0.4,,,,,,,
1,10,1,9,0.44,,,,,,,
1,10,1,10,0.425,,,,,,,
1,15,1,1,0.39,,,,,,,
1,15,1,2,0.37,,,,,,,
1,15,1,3,0.4,,,,,,,
1,15,1,4,0.41,,,,,,,
1,15,1,5,0.41,,,,,,,
1,15,1,6,0.38,,,,,,,
1,15,1,7,0.41,,,,,,,
1,15,1,8,0.4,,,,,,,
1,15,1,9,0.38,,,,,,,
1,15,1,10,0.39,,,,,,,
1,20,1,1,0.41,,,,,,,
1,20,1,2,0.42,,,,,,,
1,20,1,3,0.37,,,,,,,
1,20,1,4,0.35,,,,,,,
1,20,1,5,0.38,,,,,,,
1,20,1,6,0.42,,,,,,,
1,20,1,7,0.39,,,,,,,
1,20,1,8,0.43,,,,,,,
1,20,1,9,0.37,,,,,,,
1,20,1,10,0.41,,,,,,,
1,25,1,1,0.34,,,,,,,
1,25,1,2,0.35,,,,,,,
1,25,1,3,0.37,,,,,,,
1,25,1,4,0.4,,,,,,,
1,25,1,5,0.39,,,,,,,
1,25,1,6,0.41,,,,,,,
1,25,1,7,0.43,,,,,,,
1,25,1,8,0.4,,,,,,,
1,25,1,9,0.37,,,,,,,
1,25,1,10,0.38,,,,,,,
