2,6,14,5,0,4,1,0.48,,1,2,6,14,5,0,4,0.459
2,6,14,5,0,4,2,0.49,,2,4,6,10,4,0,4,0.4575
2,6,14,5,0,4,3,0.45,,3,5,4,14,5,0,4,0.466
2,6,14,5,0,4,4,0.47,,4,5,6,10,5,0,4,0.459
2,6,14,5,0,4,5,0.44,,5,5,6,13,4,1,5,0.451
2,6,14,5,0,4,6,0.44,,6,5,6,14,3,0,4,0.471
2,6,14,5,0,4,7,0.41,,7,5,6,14,5,0,4,0.461
2,6,14,5,0,4,8,0.48,,8,5,6,14,5,1,2,0.479
2,6,14,5,0,4,9,0.47,,9,5,6,14,5,1,4,0.463
2,6,14,5,0,4,10,0.46,,10,5,6,14,5,1,6,0.449
4,6,10,4,0,4,1,0.43,,11,5,6,14,7,0,4,0.474
4,6,10,4,0,4,2,0.45,,12,5,6,18,5,0,4,0.462
4,6,10,4,0,4,3,0.42,,13,5,8,14,5,0,4,0.453
4,6,10,4,0,4,4,0.5,,14,8,6,14,5,0,4,0.477
4,6,10,4,0,4,5,0.44,,,,,,,,,
4,6,10,4,0,4,6,0.47,,,,,,,,,
4,6,10,4,0,4,7,0.44,,,,,,,,,
4,6,10,4,0,4,8,0.49,,,,,,,,,
4,6,10,4,0,4,9,0.43,,,,,,,,,
4,6,10,4,0,4,10,0.44,,,,,,,,,
5,4,14,5,0,4,1,0.46,,,,,,,,,
5,4,14,5,0,4,2,0.42,,,,,,,,,
5,4,14,5,0,4,3,0.51,,,,,,,,,
5,4,14,5,0,4,4,0.49,,,,,,,,,
5,4,14,5,0,4,5,0.49,,,,,,,,,
5,4,14,5,0,4,6,0.46,,,,,,,,,
5,4,14,5,0,4,7,0.47,,,,,,,,,
5,4,14,5,0,4,8,0.43,,,,,,,,,
5,4,14,5,0,4,9,0.44,,,,,,,,,
5,4,14,5,0,4,10,0.49,,,,,,,,,
5,6,10,5,0,4,1,0.43,,,,,,,,,
5,6,10,5,0,4,2,0.45,,,,,,,,,
5,6,10,5,0,4,3,0.51,,,,,,,,,
5,6,10,5,0,4,4,0.47,,,,,,,,,
5,6,10,5,0,4,5,0.44,,,,,,,,,
5,6,10,5,0,4,6,0.47,,,,,,,,,
5,6,10,5,0,4,7,0.51,,,,,,,,,
5,6,10,5,0,4,8,0.45,,,,,,,,,
5,6,10,5,0,4,9,0.4,,,,,,,,,
5,6,10,5,0,4,10,0.46,,,,,,,,,
5,6,13,4,1,5,1,0.42,,,,,,,,,
5,6,13,4,1,5,2,0.46,,,,,,,,,
5,6,13,4,1,5,3,0.43,,,,,,,,,
5,6,13,4,1,5,4,0.38,,,,,,,,,
5,6,13,4,1,5,5,0.44,,,,,,,,,
5,6,13,4,1,5,6,0.48,,,,,,,,,
5,6,13,4,1,5,7,0.52,,,,,,,,,
5,6,13,4,1,5,8,0.51,,,,,,,,,
5,6,13,4,1,5,9,0.45,,,,,,,,,
5,6,13,4,1,5,10,0.42,,,,,,,,,
5,6,14,3,0,4,1,0.49,,,,,,,,,
5,6,14,3,0,4,2,0.47,,,,,,,,,
5,6,14,3,0,4,3,0.45,,,,,,,,,
5,6,14,3,0,4,4,0.46,,,,,,,,,
5,6,14,3,0,4,5,0.45,,,,,,,,,
5,6,14,3,0,4,6,0.49,,,,,,,,,
5,6,14,3,0,4,7,0.47,,,,,,,,,
5,6,14,3,0,4,8,0.5,,,,,,,,,
5,6,14,3,0,4,9,0.48,,,,,,,,,
5,6,14,3,0,4,10,0.45,,,,,,,,,
5,6,14,5,0,4,1,0.48,,,,,,,,,
5,6,14,5,0,4,2,0.43,,,,,,,,,
5,6,14,5,0,4,3,0.46,,,,,,,,,
5,6,14,5,0,4,4,0.45,,,,,,,,,
5,6,14,5,0,4,5,0.5,,,,,,,,,
5,6,14,5,0,4,6,0.43,,,,,,,,,
5,6,14,5,0,4,7,0.44,,,,,,,,,
5,6,14,5,0,4,8,0.45,,,,,,,,,
5,6,14,5,0,4,9,0.5,,,,,,,,,
5,6,14,5,0,4,10,0.47,,,,,,,,,
5,6,14,5,1,2,1,0.46,,,,,,,,,
5,6,14,5,1,2,2,0.51,,,,,,,,,
5,6,14,5,1,2,3,0.51,,,,,,,,,
5,6,14,5,1,2,4,0.47,,,,,,,,,
5,6,14,5,1,2,5,0.48,,,,,,,,,
5,6,14,5,1,2,6,0.47,,,,,,,,,
5,6,14,5,1,2,7,0.44,,,,,,,,,
5,6,14,5,1,2,8,0.48,,,,,,,,,
